datetime	caudal
2014-01-23	1.04
2014-01-24	1.02
2014-01-25	1.06
2014-01-26	1.11
2014-01-27	1.11
2014-01-28	1.03
2014-01-29	0.99
2014-01-30	0.98
2014-01-31	0.96
2014-02-01	1.04
2014-02-02	1.06
2014-02-03	0.99
2014-02-04	0.96
2014-02-05	1.00
2014-02-06	1.09
2014-02-07	1.03
2014-02-08	1.04
2014-02-09	1.06
2014-02-10	1.00
2014-02-11	0.98
2014-02-12	1.03
2014-02-13	1.06
2014-02-14	1.03
2014-02-15	1.03
2014-02-16	1.02
2014-02-17	0.98
2014-02-18	0.95
2014-02-19	0.96
2014-02-20	1.00
2014-02-21	1.17
2014-02-22	1.15
2014-02-23	1.06
2014-02-24	1.11
2014-02-25	1.06
2014-02-26	1.00
2014-02-27	1.20
2014-02-28	1.26
2014-03-01	1.25
2014-03-02	1.38
2014-03-03	1.91
2014-03-04	1.42
2014-03-05	1.63
2014-03-06	1.34
2014-03-07	1.17
2014-03-08	1.12
2014-03-09	1.72
2014-03-10	1.55
2014-03-11	1.31
2014-03-12	1.25
2014-03-13	1.24
2014-03-14	1.20
2014-03-15	1.17
2014-03-16	1.19
2014-03-17	1.13
2014-03-18	1.17
2014-03-19	1.68
2014-03-20	1.78
2014-03-21	1.39
2014-03-22	1.57
2014-03-24	1.74
2014-03-25	1.41
2014-03-26	1.24
2014-03-27	1.20
2014-03-28	1.22
2014-03-29	1.15
2014-03-30	1.19
2014-03-31	1.38
2014-04-01	1.17
2014-04-02	1.12
2014-04-03	1.11
2014-04-04	1.33
2014-04-05	1.26
2014-04-06	1.90
2014-04-07	1.74
2014-04-09	1.59
2014-04-10	1.38
2014-04-11	1.35
2014-04-12	1.22
2014-04-13	1.17
2014-04-14	1.13
2014-04-15	1.15
2014-04-16	1.52
2014-04-17	1.33
2014-04-18	1.47
2014-04-20	1.60
2014-04-21	1.65
2014-04-22	1.65
2014-04-23	1.50
2014-04-24	1.50
2014-04-25	1.72
2014-04-26	1.37
2014-04-27	1.68
2014-04-28	1.39
2014-04-29	1.37
2014-04-30	1.44
2014-05-01	1.25
2014-05-02	1.21
2014-05-03	1.22
2014-05-04	1.30
2014-05-05	1.25
2014-05-06	1.16
2014-05-07	1.12
2014-05-08	1.19
2014-05-09	1.54
2014-05-10	1.56
2014-05-11	1.77
2014-05-13	1.59
2014-05-14	1.38
2014-05-15	1.55
2014-05-16	1.48
2014-05-17	1.43
2014-05-18	1.81
2014-05-19	1.83
2014-05-20	1.72
2014-05-21	1.42
2014-05-22	1.26
2014-05-23	1.26
2014-05-24	1.22
2014-05-25	1.19
2014-05-26	1.25
2014-05-27	1.24
2014-05-28	1.41
2014-05-30	1.64
2014-05-31	1.50
2014-06-01	1.91
2014-06-02	1.91
2014-06-03	1.63
2014-06-04	1.54
2014-06-05	1.44
2014-06-06	1.82
2014-06-07	1.73
2014-06-08	1.37
2014-06-09	1.30
2014-06-10	1.90
2014-06-11	1.77
2014-06-12	1.47
2014-06-13	1.60
2014-06-18	1.83
2014-06-19	1.68
2014-06-20	1.64
2014-06-21	1.41
2014-06-22	1.33
2014-06-23	1.69
2014-06-26	1.89
2014-06-27	1.55
2014-06-28	1.43
2014-06-29	1.42
2014-06-30	1.52
2014-07-01	1.44
2014-07-02	1.30
2014-07-03	1.46
2014-07-04	1.74
2014-07-05	1.65
2014-07-06	1.57
2014-07-09	1.70
2014-07-10	1.68
2014-07-11	1.55
2014-07-12	1.41
2014-07-13	1.38
2014-07-16	1.78
2014-07-18	1.86
2014-07-22	1.82
2014-07-23	1.55
2014-07-24	1.68
2014-07-26	1.74
2014-07-27	1.57
2014-07-28	1.89
2014-07-30	1.67
2014-07-31	1.44
2014-08-01	1.39
2014-08-02	1.33
2014-08-03	1.31
2014-08-04	1.29
2014-08-05	1.81
2014-08-07	1.78
2014-08-08	1.52
2014-08-10	1.61
2014-08-11	1.47
2014-08-12	1.67
2014-08-13	1.82
2014-08-14	1.57
2014-08-15	1.76
2014-08-17	1.92
2014-08-18	1.55
2014-08-19	1.52
2014-08-20	1.44
2014-08-21	1.37
2014-08-22	1.31
2014-08-23	1.26
2014-08-24	1.25
2014-08-25	1.54
2014-08-26	1.57
2014-08-27	1.41
2014-08-28	1.28
2014-08-29	1.29
2014-08-30	1.91
2014-08-31	1.57
2014-09-01	1.29
2014-09-02	1.30
2014-09-03	1.34
2014-09-04	1.28
2014-09-05	1.28
2014-09-06	1.33
2014-09-07	1.19
2014-09-08	1.15
2014-09-09	1.13
2014-09-10	1.13
2014-09-11	1.13
2014-09-12	1.22
2014-09-13	1.30
2014-09-14	1.37
2014-09-15	1.83
2014-09-16	1.76
2014-09-17	1.33
2014-09-18	1.20
2014-09-19	1.15
2014-09-20	1.12
2014-09-21	1.15
2014-09-22	1.20
2014-09-23	1.21
2014-09-24	1.24
2014-09-25	1.17
2014-09-26	1.11
2014-09-27	1.09
2014-09-28	1.12
2014-09-29	1.21
2014-09-30	1.26
2014-10-01	1.30
2014-10-02	1.55
2014-10-03	1.43
2014-10-04	1.42
2014-10-05	1.20
2014-10-06	1.15
2014-10-07	1.73
2014-10-08	1.74
2014-10-09	1.37
2014-10-10	1.43
2014-10-13	1.79
2014-10-14	1.78
2014-10-17	1.89
2014-10-18	1.52
2014-10-19	1.38
2014-10-20	1.31
2014-10-21	1.29
2014-10-22	1.30
2014-10-23	1.26
2014-10-24	1.22
2014-10-25	1.29
2014-10-26	1.41
2014-10-27	1.34
2014-10-28	1.21
2014-10-29	1.19
2014-10-30	1.25
2014-10-31	1.28
2014-11-01	1.16
2014-11-02	1.15
2014-11-03	1.12
2014-11-04	1.12
2014-11-05	1.13
2014-11-06	1.13
2014-11-07	1.15
2014-11-08	1.13
2014-11-09	1.08
2014-11-10	1.09
2014-11-11	1.19
2014-11-12	1.28
2014-11-13	1.21
2014-11-14	1.15
2014-11-15	1.11
2014-11-16	1.07
2014-11-17	1.07
2014-11-18	1.15
2014-11-19	1.12
2014-11-20	1.07
2014-11-21	1.06
2014-11-22	1.07
2014-11-23	1.25
2014-11-24	1.17
2014-11-25	1.13
2014-11-26	1.25
2014-11-27	1.50
2014-11-28	1.22
2014-11-29	1.19
2014-11-30	1.30
2014-12-01	1.37
2014-12-02	1.43
2014-12-03	1.26
2014-12-04	1.12
2014-12-05	1.78
2014-12-06	1.38
2014-12-07	1.15
2014-12-08	1.34
2014-12-09	1.29
2014-12-10	1.26
2014-12-11	1.15
2014-12-12	1.21
2014-12-13	1.15
2014-12-14	1.04
2014-12-15	1.00
2014-12-16	0.99
2014-12-17	0.99
2014-12-18	0.99
2014-12-19	0.99
2014-12-20	1.09
2014-12-21	1.03
2014-12-22	1.00
2014-12-23	1.02
2014-12-24	1.13
2014-12-25	1.64
2014-12-26	1.60
2014-12-27	1.63
2014-12-28	1.57
2014-12-29	1.35
2014-12-30	1.20
2014-12-31	1.15
2015-01-01	1.12
2015-01-02	1.11
2015-01-03	1.08
2015-01-04	1.20
2015-01-05	1.38
2015-01-06	1.21
2015-01-07	1.12
2015-01-08	1.15
2015-01-09	1.91
2015-01-11	1.89
2015-01-12	1.61
2015-01-13	1.51
2015-01-14	1.39
2015-01-15	1.21
2015-01-16	1.13
2015-01-17	1.09
2015-01-18	1.13
2015-01-19	1.22
2015-01-20	1.22
2015-01-21	1.16
2015-01-22	1.16
2015-01-23	1.22
2015-01-24	1.41
2015-01-25	1.28
2015-01-26	1.16
2015-01-27	1.11
2015-01-28	1.17
2015-01-29	1.21
2015-01-30	1.42
2015-01-31	1.73
2015-02-01	1.92
2015-02-02	1.82
2015-02-05	1.79
2015-02-06	1.42
2015-02-07	1.24
2015-02-08	1.21
2015-02-09	1.20
2015-02-10	1.15
2015-02-11	1.09
2015-02-12	1.13
2015-02-13	1.33
2015-02-14	1.63
2015-02-15	1.37
2015-02-16	1.19
2015-02-17	1.13
2015-02-18	1.07
2015-02-19	1.03
2015-02-20	1.00
2015-02-21	0.98
2015-02-22	0.96
2015-02-23	0.95
2015-02-24	0.94
2015-02-25	0.94
2015-02-26	0.94
2015-02-27	0.94
2015-02-28	0.94
2015-03-01	0.99
2015-03-02	0.95
2015-03-03	0.99
2015-03-04	1.03
2015-03-05	0.95
2015-03-06	0.93
2015-03-07	1.15
2015-03-08	1.35
2015-03-09	1.35
2015-03-12	1.48
2015-03-13	1.35
2015-03-14	1.28
2015-03-15	1.55
2015-03-16	1.41
2015-03-17	1.24
2015-03-18	1.30
2015-03-19	1.47
2015-03-21	1.73
2015-03-22	1.38
2015-03-23	1.25
2015-03-24	1.17
2015-03-25	1.15
2015-03-26	1.68
2015-03-27	1.42
2015-03-28	1.22
2015-03-29	1.73
2015-03-30	1.46
2015-03-31	1.31
2015-04-01	1.41
2015-04-02	1.63
2015-04-03	1.50
2015-04-04	1.25
2015-04-05	1.25
2015-04-06	1.42
2015-04-07	1.81
2015-04-08	1.54
2015-04-09	1.35
2015-04-10	1.39
2015-04-11	1.77
2015-04-12	1.64
2015-04-13	1.67
2015-04-14	1.48
2015-04-15	1.43
